"Step","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_recall__MAX","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_recall__MAX","deberta-mlm-large_prompt-based-balanced - eval/macro_recall","deberta-mlm-large_prompt-based-balanced - eval/macro_recall__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_recall__MAX","deberta-large_prompt-based-balanced - eval/macro_recall","deberta-large_prompt-based-balanced - eval/macro_recall__MIN","deberta-large_prompt-based-balanced - eval/macro_recall__MAX","mlm-large_prompt-based-balanced - eval/macro_recall","mlm-large_prompt-based-balanced - eval/macro_recall__MIN","mlm-large_prompt-based-balanced - eval/macro_recall__MAX","mlm-large_prompt-based - eval/macro_recall","mlm-large_prompt-based - eval/macro_recall__MIN","mlm-large_prompt-based - eval/macro_recall__MAX","mlm-large_fine-tune - eval/macro_recall","mlm-large_fine-tune - eval/macro_recall__MIN","mlm-large_fine-tune - eval/macro_recall__MAX","mlm_fine-tune - eval/macro_recall","mlm_fine-tune - eval/macro_recall__MIN","mlm_fine-tune - eval/macro_recall__MAX"
"263","","","","0.4178069242031782","0.4178069242031782","0.4178069242031782","0.40992454250966154","0.40992454250966154","0.40992454250966154","0.3987994603467867","0.3987994603467867","0.3987994603467867","0.3912738312666558","0.37806581414408","0.40448184838923157","0.41842609927552843","0.41842609927552843","0.41842609927552843","","","","","",""
"285","","","","0.4154892423760009","0.4154892423760009","0.4154892423760009","0.4012691800767037","0.4012691800767037","0.4012691800767037","0.40574517389362763","0.40574517389362763","0.40574517389362763","0.42486047732017396","0.4155188806579848","0.43420207398236305","0.4417287785450174","0.4417287785450174","0.4417287785450174","","","","","",""
"307","","","","0.4026911700999903","0.4026911700999903","0.4026911700999903","0.39548822560683367","0.39548822560683367","0.39548822560683367","0.39949454217205066","0.39949454217205066","0.39949454217205066","0.4107209457882961","0.40913684762281327","0.41230504395377887","0.4177842277970457","0.4177842277970457","0.4177842277970457","","","","","",""
"329","","","","0.40498451493661447","0.40498451493661447","0.40498451493661447","0.3768396502447118","0.3768396502447118","0.3768396502447118","0.40724539632253054","0.40724539632253054","0.40724539632253054","0.41929912457301755","0.4121761103455272","0.4264221388005079","0.4321625158613345","0.4321625158613345","0.4321625158613345","","","","","",""
"352","","","","0.41987496737943264","0.41987496737943264","0.41987496737943264","0.4096593767388888","0.4096593767388888","0.4096593767388888","0.4154587257599481","0.4154587257599481","0.4154587257599481","0.40342287583676595","0.4011131287311601","0.4057326229423717","0.425243394763511","0.425243394763511","0.425243394763511","","","","","",""
"374","","","","0.407580610088106","0.407580610088106","0.407580610088106","0.3871070246012837","0.3871070246012837","0.3871070246012837","0.3927499814249881","0.3927499814249881","0.3927499814249881","0.4067921998158964","0.40469293732017364","0.40889146231161916","0.43254580150335187","0.43254580150335187","0.43254580150335187","","","","","",""
"396","","","","0.41140073883797423","0.41140073883797423","0.41140073883797423","0.38662951662665984","0.38662951662665984","0.38662951662665984","0.40885199309995157","0.40885199309995157","0.40885199309995157","0.40941264390657583","0.3992699796649023","0.4195553081482493","0.4178417034666738","0.4178417034666738","0.4178417034666738","","","","","",""
"418","","","","0.40374127114761416","0.40374127114761416","0.40374127114761416","0.38618462933860204","0.38618462933860204","0.38618462933860204","0.3988049499270592","0.3988049499270592","0.3988049499270592","0.4033142150175484","0.40303581042563763","0.4035926196094592","0.42257388994205725","0.42257388994205725","0.42257388994205725","","","","","",""
"440","","","","0.4140311222888589","0.4140311222888589","0.4140311222888589","0.4014417482648371","0.4014417482648371","0.4014417482648371","0.407553384998575","0.407553384998575","0.407553384998575","0.41666572833788684","0.41555952117258343","0.4177719355031903","0.442790789136818","0.442790789136818","0.442790789136818","","","","","",""
"462","","","","0.41036945881984543","0.41036945881984543","0.41036945881984543","0.3888961992793759","0.3888961992793759","0.3888961992793759","0.3990077886637674","0.3990077886637674","0.3990077886637674","0.40339457375495097","0.40010024459450844","0.4066889029153935","0.4245660906086747","0.4245660906086747","0.4245660906086747","","","","","",""
"484","","","","0.41847682725334073","0.41847682725334073","0.41847682725334073","0.4004339612575004","0.4004339612575004","0.4004339612575004","0.4063334243505773","0.4063334243505773","0.4063334243505773","0.41367091956603375","0.4086497519157349","0.41869208721633255","0.42411265328356446","0.42411265328356446","0.42411265328356446","","","","","",""
"506","","","","0.40539240448423997","0.40539240448423997","0.40539240448423997","0.3827580328298609","0.3827580328298609","0.3827580328298609","0.39844284972613925","0.39844284972613925","0.39844284972613925","0.4085013914515625","0.4066380977051624","0.41036468519796265","0.42690590570114273","0.42690590570114273","0.42690590570114273","","","","","",""
"528","","","","0.40734845044046963","0.40734845044046963","0.40734845044046963","0.37325679973092407","0.37325679973092407","0.37325679973092407","0.39638101153467237","0.39638101153467237","0.39638101153467237","0.4067738789946467","0.4058803663210845","0.4076673916682088","0.4187214962407485","0.4187214962407485","0.4187214962407485","","","","","",""
"550","","","","0.410413461800725","0.410413461800725","0.410413461800725","0.3827575262053583","0.3827575262053583","0.3827575262053583","0.39888890147428485","0.39888890147428485","0.39888890147428485","0.4056302210004683","0.4042597201779004","0.4070007218230362","0.42467574764117383","0.42467574764117383","0.42467574764117383","","","","","",""
"572","","","","0.4037341523993062","0.4037341523993062","0.4037341523993062","0.37874201522136675","0.37874201522136675","0.37874201522136675","0.3905886665135213","0.3905886665135213","0.3905886665135213","0.4055053523835198","0.40455307395485124","0.40645763081218833","0.41942915994791263","0.41942915994791263","0.41942915994791263","","","","","",""
"594","","","","0.4054595191433349","0.4054595191433349","0.4054595191433349","0.3828028687288144","0.3828028687288144","0.3828028687288144","0.3991365559348324","0.3991365559348324","0.3991365559348324","0.4098861472718824","0.40563883797964095","0.4141334565641238","0.424662263946204","0.424662263946204","0.424662263946204","","","","","",""
"616","","","","0.409592890181304","0.409592890181304","0.409592890181304","0.37916555787893114","0.37916555787893114","0.37916555787893114","0.4043267676610185","0.4043267676610185","0.4043267676610185","0.41033495280601057","0.40986730089774853","0.4108026047142726","0.4311400747328782","0.4311400747328782","0.4311400747328782","","","","","",""
"638","","","","0.41107102553351654","0.41107102553351654","0.41107102553351654","0.3833235232110043","0.3833235232110043","0.3833235232110043","0.3987397464161772","0.3987397464161772","0.3987397464161772","0.4122129576361456","0.41038810334872144","0.4140378119235698","0.4238283363609831","0.4238283363609831","0.4238283363609831","","","","","",""
"659","","","","","","","0.37752577653289277","0.37752577653289277","0.37752577653289277","0.394045936629724","0.394045936629724","0.394045936629724","0.407729397295664","0.40557109260026714","0.40988770199106084","0.4225952243856609","0.4225952243856609","0.4225952243856609","","","","","",""
