"Step","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-pure-fs-balanced - eval/macro_precision__MAX","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-pure-balanced - eval/macro_precision__MAX","deberta-mlm-large_prompt-based-balanced - eval/macro_precision","deberta-mlm-large_prompt-based-balanced - eval/macro_precision__MIN","deberta-mlm-large_prompt-based-balanced - eval/macro_precision__MAX","deberta-large_prompt-based-balanced - eval/macro_precision","deberta-large_prompt-based-balanced - eval/macro_precision__MIN","deberta-large_prompt-based-balanced - eval/macro_precision__MAX","mlm-large_prompt-based-balanced - eval/macro_precision","mlm-large_prompt-based-balanced - eval/macro_precision__MIN","mlm-large_prompt-based-balanced - eval/macro_precision__MAX","mlm-large_prompt-based - eval/macro_precision","mlm-large_prompt-based - eval/macro_precision__MIN","mlm-large_prompt-based - eval/macro_precision__MAX","mlm-large_fine-tune - eval/macro_precision","mlm-large_fine-tune - eval/macro_precision__MIN","mlm-large_fine-tune - eval/macro_precision__MAX","mlm_fine-tune - eval/macro_precision","mlm_fine-tune - eval/macro_precision__MIN","mlm_fine-tune - eval/macro_precision__MAX"
"20","","","","","","","","","","","","","","","","","","","0.585312787914413","0.585312787914413","0.585312787914413","0.55870160996144","0.55870160996144","0.55870160996144"
"21","[""NaN"",""NaN""]","","","0.6198830409356725","0.6198830409356725","0.6198830409356725","NaN","","","0.6637034778916572","0.6637034778916572","0.6637034778916572","0.7003609916453141","0.6521571210280456","0.7485648622625826","0.7848094155703371","0.7848094155703371","0.7848094155703371","","","","","",""
"22","","","","","","","","","","","","","","","","","","","0.6038702655012903","0.6038702655012903","0.6038702655012903","0.5282471815297789","0.5282471815297789","0.5282471815297789"
"24","","","","","","","","","","","","","","","","","","","0.5766950182535278","0.5766950182535278","0.5766950182535278","0.554824093153846","0.554824093153846","0.554824093153846"
"26","","","","","","","","","","","","","","","","","","","0.5958011398557383","0.5958011398557383","0.5958011398557383","0.548270489214311","0.548270489214311","0.548270489214311"
"28","","","","","","","","","","","","","","","","","","","0.5729578263199943","0.5729578263199943","0.5729578263199943","0.5328184991590768","0.5328184991590768","0.5328184991590768"
"30","","","","","","","","","","","","","","","","","","","0.5855309594099191","0.5855309594099191","0.5855309594099191","0.5541392003676047","0.5541392003676047","0.5541392003676047"
"32","","","","","","","","","","","","","","","","","","","0.5737602829740986","0.5737602829740986","0.5737602829740986","0.5353654431495598","0.5353654431495598","0.5353654431495598"
"34","","","","","","","","","","","","","","","","","","","0.5942095080153177","0.5942095080153177","0.5942095080153177","0.5522387082127523","0.5522387082127523","0.5522387082127523"
"36","","","","","","","","","","","","","","","","","","","0.6019472608698517","0.6019472608698517","0.6019472608698517","0.5458460382348232","0.5458460382348232","0.5458460382348232"
"38","","","","","","","","","","","","","","","","","","","0.5886726741455715","0.5886726741455715","0.5886726741455715","0.5345712918014309","0.5345712918014309","0.5345712918014309"
"40","","","","","","","","","","","","","","","","","","","0.5949332840485833","0.5949332840485833","0.5949332840485833","0.5452395794436208","0.5452395794436208","0.5452395794436208"
"42","","","","","","","","","","","","","","","","","","","0.5906898046768073","0.5906898046768073","0.5906898046768073","0.5425512048001162","0.5425512048001162","0.5425512048001162"
"43","0.248717397429349","0.2472644767557616","0.25017031810293644","0.7591680989622321","0.7591680989622321","0.7591680989622321","0.6526390791061358","0.6526390791061358","0.6526390791061358","0.6780869618879499","0.6780869618879499","0.6780869618879499","0.7092757455215004","0.7071142323448598","0.7114372586981409","0.7182051796067468","0.7182051796067468","0.7182051796067468","","","","","",""
"44","","","","","","","","","","","","","","","","","","","0.5939314738116772","0.5939314738116772","0.5939314738116772","0.5408825319105658","0.5408825319105658","0.5408825319105658"
"46","","","","","","","","","","","","","","","","","","","0.5937701007331053","0.5937701007331053","0.5937701007331053","0.5486056990040963","0.5486056990040963","0.5486056990040963"
"48","","","","","","","","","","","","","","","","","","","0.5820470907532392","0.5820470907532392","0.5820470907532392","0.5381543158680062","0.5381543158680062","0.5381543158680062"
"50","","","","","","","","","","","","","","","","","","","0.5851366361786401","0.5851366361786401","0.5851366361786401","0.537719542139124","0.537719542139124","0.537719542139124"
"52","","","","","","","","","","","","","","","","","","","0.5941982235050449","0.5941982235050449","0.5941982235050449","0.5319209088367669","0.5319209088367669","0.5319209088367669"
"54","","","","","","","","","","","","","","","","","","","0.5974570725969841","0.5974570725969841","0.5974570725969841","0.5289075387538691","0.5289075387538691","0.5289075387538691"
"56","","","","","","","","","","","","","","","","","","","0.5940457759329589","0.5940457759329589","0.5940457759329589","0.5296755172518111","0.5296755172518111","0.5296755172518111"
